,Quarter,Tm,Detail,BAL,GNB
0,1.0,Packers,Fred Cone 25 yard field goal,0,3
1,1.0,Colts,Jim Mutscheller 12 yard pass from Johnny Unitas (Bert Rechichar kick),7,3
2,2.0,Packers,Gary Knafelc 5 yard pass from Bart Starr (Fred Cone kick),7,10
3,3.0,Colts,Alan Ameche 1 yard rush (Bert Rechichar kick),14,10
4,3.0,Colts,Bert Rechichar 23 yard field goal,17,10
5,3.0,Colts,Alan Ameche 1 yard rush (Bert Rechichar kick),24,10
6,4.0,Colts,Jim Mutscheller 29 yard pass from Johnny Unitas (Bert Rechichar kick),31,10
7,4.0,Colts,Alan Ameche 1 yard rush (Bert Rechichar kick),38,10
8,4.0,Colts,Jim Mutscheller 14 yard pass from George Shaw (Steve Myhra kick),45,10
9,4.0,Packers,Billy Howton 8 yard pass from Bart Starr (Fred Cone kick),45,17
