,Quarter,Time,Tm,Detail,CAR,ATL
0,1.0,15:00,Falcons,Tim Dwight 93 yard kickoff return (Morten Andersen kick),0,7
1,1.0,15:00,Falcons,Tony Martin 30 yard pass from Chris Chandler (Morten Andersen kick),0,14
2,1.0,15:00,Panthers,John Kasay 28 yard field goal,3,14
3,2.0,1:12,Falcons,Morten Andersen 23 yard field goal,3,17
4,3.0,1:12,Falcons,Bob Christian 1 yard rush (Morten Andersen kick),3,24
5,3.0,6:07,Falcons,O.J. Santiago 26 yard pass from Chris Chandler (Morten Andersen kick),3,31
6,3.0,6:01,Falcons,William White 18 yard defensive fumble return (Morten Andersen kick),3,38
7,3.0,6:01,Panthers,Wesley Walls 24 yard pass from Kerry Collins,9,38
8,4.0,6:01,Panthers,Mark Carrier 5 yard pass from Kerry Collins (pass failed),15,38
9,4.0,6:01,Falcons,Jamal Anderson 20 yard rush (Morten Andersen kick),15,45
10,4.0,6:01,Panthers,Muhsin Muhammad 72 yard pass from Kerry Collins (Kerry Collins run),23,45
11,4.0,6:01,Falcons,Morten Andersen 25 yard field goal,23,48
12,4.0,0:47,Falcons,Morten Andersen 28 yard field goal,23,51
