,Quarter,Tm,Detail,EVN,TOL
0,3.0,Maroons,Russ Stein 27 yard field goal,0,3
1,4.0,Maroons,interception in end zone,0,9
2,4.0,Maroons,Dunc Annan unknown yard pass from Tom Holleran,0,15
