,Quarter,Time,Tm,Detail,CAR,NOR
0,1.0,,Panthers,John Kasay 25 yard field goal,3,0
1,1.0,,Panthers,Anthony Johnson 14 yard pass from Kerry Collins (John Kasay kick),10,0
2,2.0,,Panthers,John Kasay 23 yard field goal,13,0
