,Quarter,Tm,Detail,GNB,TAM
0,1,Buccaneers,James Wilder 33 yard rush (Obed Ariri kick),0,7
1,1,Packers,Jessie Clark 43 yard rush (Eddie Garcia kick),7,7
2,1,Packers,Eddie Garcia 41 yard field goal,10,7
3,2,Buccaneers,Obed Ariri 46 yard field goal,10,10
4,2,Buccaneers,Steve DeBerg 6 yard rush (Obed Ariri kick),10,17
5,2,Packers,Eddie Garcia 51 yard field goal,13,17
6,3,Packers,Paul Coffman 4 yard pass from Lynn Dickey (Eddie Garcia kick),20,17
7,4,Buccaneers,Obed Ariri 49 yard field goal,20,20
8,4,Buccaneers,David Logan 27 yard interception return (Obed Ariri kick),20,27
9,4,Packers,Gerry Ellis 14 yard pass from Lynn Dickey (Eddie Garcia kick),27,27
10,OT,Buccaneers,Obed Ariri 48 yard field goal,27,30
