,Quarter,Tm,Detail,NOR,TAM
0,3.0,Buccaneers,Isaac Hagins 22 yard pass from Doug Williams (Neil O'Donoghue kick),0,7
1,3.0,Saints,Archie Manning 2 yard rush (Garo Yepremian kick),7,7
2,3.0,Saints,Tony Galbreath 6 yard rush (Garo Yepremian kick),14,7
3,3.0,Saints,Henry Childs 15 yard pass from Archie Manning (Garo Yepremian kick),21,7
4,4.0,Saints,Tony Galbreath 20 yard rush (Garo Yepremian kick),28,7
5,4.0,Saints,Mike Strachan 1 yard rush (Garo Yepremian kick),35,7
6,4.0,Saints,Mike Strachan 7 yard rush (Garo Yepremian kick),42,7
7,4.0,Buccaneers,Jimmie Giles 21 yard pass from Mike Rae (Neil O'Donoghue kick),42,14
