,Quarter,Time,Tm,Detail,NOR,CAR
0,1.0,10:19,Panthers,John Kasay 20 yard field goal,0,3
1,1.0,2:28,Saints,Jeremy Shockey 7 yard pass from Drew Brees (Garrett Hartley kick),7,3
2,2.0,2:49,Saints,Jimmy Graham 19 yard pass from Drew Brees (Garrett Hartley kick),14,3
3,2.0,0:00,Saints,Garrett Hartley 31 yard field goal,17,3
4,3.0,8:38,Saints,Garrett Hartley 36 yard field goal,20,3
5,3.0,0:41,Saints,Jabari Greer 24 yard interception return (Garrett Hartley kick),27,3
6,4.0,8:12,Saints,Ladell Betts 1 yard rush (Garrett Hartley kick),34,3
