,Quarter,Time,Tm,Detail,BUF,NOR
0,1.0,4:44,Saints,Lance Moore 15 yard pass from Drew Brees (Garrett Hartley kick),0,7
1,2.0,10:44,Bills,Steve Johnson 13 yard pass from Thaddeus Lewis (Dan Carpenter kick),7,7
2,2.0,4:35,Bills,Dan Carpenter 37 yard field goal,10,7
3,2.0,3:43,Saints,Kenny Stills 69 yard pass from Drew Brees (Garrett Hartley kick),10,14
4,2.0,0:30,Saints,Jimmy Graham 15 yard pass from Drew Brees (Garrett Hartley kick),10,21
5,3.0,5:15,Saints,Jimmy Graham 13 yard pass from Drew Brees (Garrett Hartley kick),10,28
6,4.0,14:20,Bills,Fred Jackson 1 yard rush (Dan Carpenter kick),17,28
7,4.0,7:34,Saints,Kenny Stills 42 yard pass from Drew Brees (Garrett Hartley kick),17,35
