,Quarter,Time,Tm,Detail,ARI,PHI
0,1.0,14:06,Cardinals,Kyle Vanden Bosch 9 yard defensive fumble return (Bill Gramatica kick),7,0
1,1.0,3:42,Cardinals,Joel Makovicka 2 yard pass from Jake Plummer (Bill Gramatica kick),14,0
2,1.0,0:07,Eagles,Todd Pinkston 13 yard pass from Donovan McNabb (David Akers kick),14,7
3,2.0,8:39,Eagles,David Akers 42 yard field goal,14,10
4,2.0,0:05,Eagles,Todd Pinkston 2 yard pass from Donovan McNabb (David Akers kick),14,17
5,4.0,1:13,Eagles,David Akers 28 yard field goal,14,20
6,4.0,0:09,Cardinals,MarTay Jenkins 35 yard pass from Jake Plummer (Bill Gramatica kick),21,20
