,Quarter,Tm,Detail,NOR,SDG
0,2.0,Chargers,Ray Wersching 28 yard field goal,0,3
1,2.0,Chargers,Ron Smith 84 yard punt return (Ray Wersching kick),0,10
2,3.0,Saints,Jubilee Dunbar 9 yard pass from Archie Manning (Bill McClard kick),7,10
3,4.0,Chargers,Robert Holmes 1 yard rush (Ray Wersching kick),7,17
4,4.0,Saints,John Beasley 14 yard pass from Archie Manning (Bill McClard kick),14,17
