,Quarter,Tm,Detail,MIN,DET
0,3.0,Vikings,Fred Cox 49 yard field goal,3,0
1,3.0,Lions,Errol Mann 49 yard field goal,3,3
2,4.0,Vikings,Chuck Foreman 5 yard rush (Fred Cox kick),10,3
3,4.0,Lions,Charlie Sanders 1 yard pass from Greg Landry,10,9
