,Quarter,Time,Tm,Detail,CLE,WAS
0,1.0,7:40,Redskins,Jordan Reed 8 yard pass from Kirk Cousins (Dustin Hopkins kick),0,7
1,1.0,0:27,Redskins,Jordan Reed 9 yard pass from Kirk Cousins (Dustin Hopkins kick),0,14
2,2.0,9:33,Browns,Isaiah Crowell 2 yard rush (Cody Parkey kick),7,14
3,2.0,7:55,Browns,Terrelle Pryor 9 yard pass from Cody Kessler (Cody Parkey kick),14,14
4,2.0,2:29,Redskins,Dustin Hopkins 49 yard field goal,14,17
5,2.0,0:00,Browns,Cody Parkey 51 yard field goal,17,17
6,3.0,9:25,Browns,Cody Parkey 45 yard field goal,20,17
7,4.0,10:39,Redskins,Chris Thompson 5 yard pass from Kirk Cousins (Dustin Hopkins kick),20,24
8,4.0,4:25,Redskins,Matt Jones 1 yard rush (Dustin Hopkins kick),20,31
