,Quarter,Time,Tm,Detail,BUF,MIN
0,1.0,10:01,Bills,Josh Allen 10 yard rush (Stephen Hauschka kick),7,0
1,1.0,7:24,Bills,Stephen Hauschka 30 yard field goal,10,0
2,1.0,5:09,Bills,Jason Croom 26 yard pass from Josh Allen (Stephen Hauschka kick),17,0
3,2.0,12:14,Bills,Josh Allen 1 yard rush (Stephen Hauschka kick),24,0
4,2.0,6:16,Bills,Stephen Hauschka 50 yard field goal,27,0
5,4.0,2:59,Vikings,Kyle Rudolph 4 yard pass from Kirk Cousins (pass failed),27,6
