,Quarter,Time,Tm,Detail,DAL,TAM
0,1.0,13:48,Buccaneers,Martin Gramatica 28 yard field goal,0,3
1,1.0,10:39,Buccaneers,Warrick Dunn 70 yard rush (Martin Gramatica kick),0,10
2,1.0,3:07,Buccaneers,Brian Kelly 9 yard interception return (Martin Gramatica kick),0,17
3,2.0,10:37,Buccaneers,Martin Gramatica 25 yard field goal,0,20
4,3.0,5:58,Cowboys,Emmitt Smith 4 yard rush (Tim Seder kick),7,20
5,4.0,7:54,Buccaneers,Warrick Dunn 4 yard rush (Martin Gramatica kick),7,27
