,Quarter,Tm,Detail,PHI,BOS
0,1.0,Yanks,Hal Crisler 4 yard pass from Paul Governali (Nick Scollard kick),0,7
1,2.0,Eagles,Steve Van Buren 50 yard punt return (Augie Lio kick),7,7
2,2.0,Eagles,Bosh Pritchard 59 yard pass from Roy Zimmerman (Augie Lio kick),14,7
3,2.0,Eagles,Augie Lio 20 yard field goal,17,7
4,2.0,Eagles,Jack Ferrante 5 yard pass from Roy Zimmerman (Augie Lio kick),24,7
5,2.0,Yanks,Abe Karnofsky 56 yard pass from Paul Governali (Nick Scollard kick),24,14
6,3.0,Eagles,Gil Steinke 3 yard rush (Augie Lio kick),31,14
7,3.0,Eagles,Gil Steinke 19 yard pass from Roy Zimmerman (Augie Lio kick),38,14
8,3.0,Eagles,"Safety, Karnofsky tackled in end zone by McDowell",40,14
