,Quarter,Tm,Detail,CHI,SFO
0,1.0,49ers,Jerry Rice 1 yard pass from Steve Young (Ray Wersching kick),0,7
1,1.0,49ers,Ray Wersching 20 yard field goal,0,10
2,2.0,49ers,Ray Wersching 45 yard field goal,0,13
3,2.0,49ers,Dwight Clark 13 yard pass from Steve Young (Ray Wersching kick),0,20
4,3.0,49ers,Dana McLemore 83 yard punt return (Ray Wersching kick),0,27
5,3.0,49ers,Jerry Rice 16 yard pass from Steve Young (Ray Wersching kick),0,34
6,4.0,49ers,Jerry Rice 2 yard pass from Steve Young (Ray Wersching kick),0,41
