,Quarter,Tm,Detail,RAM,BAL
0,1.0,Colts,Lenny Moore 58 yard pass from Johnny Unitas (Steve Myhra kick),0,7
1,2.0,Colts,Lenny Moore 8 yard rush,0,13
2,3.0,Rams,Tommy Wilson 4 yard rush (Paige Cothren kick),7,13
3,4.0,Colts,Jim Mutscheller 12 yard pass from Johnny Unitas (Steve Myhra kick),7,20
4,4.0,Colts,Johnny Unitas 1 yard rush (Steve Myhra kick),7,27
5,4.0,Colts,L.G. Dupre 6 yard rush (Steve Myhra kick),7,34
