,Quarter,Time,Tm,Detail,OAK,JAX
0,1.0,9:06,Raiders,Sebastian Janikowski 26 yard field goal,3,0
1,2.0,14:52,Raiders,Sebastian Janikowski 32 yard field goal,6,0
2,2.0,12:38,Jaguars,Jason Myers 23 yard field goal,6,3
3,2.0,5:32,Raiders,Latavius Murray 2 yard rush (Sebastian Janikowski kick),13,3
4,2.0,1:49,Jaguars,Jason Myers 37 yard field goal,13,6
5,2.0,0:11,Raiders,Michael Crabtree 2 yard pass from Derek Carr (Sebastian Janikowski kick),20,6
6,3.0,12:11,Jaguars,Jason Myers 44 yard field goal,20,9
7,3.0,2:28,Raiders,Sebastian Janikowski 44 yard field goal,23,9
8,4.0,11:33,Raiders,Sebastian Janikowski 52 yard field goal,26,9
9,4.0,4:12,Jaguars,Julius Thomas 9 yard pass from Blake Bortles (Jason Myers kick),26,16
10,4.0,2:35,Raiders,Latavius Murray 9 yard rush (Sebastian Janikowski kick),33,16
