,Quarter,Time,Tm,Detail,SDG,HOU
0,1.0,11:49,Texans,Kris Brown 37 yard field goal,0,3
1,1.0,6:35,Chargers,Nate Kaeding 48 yard field goal,3,3
2,2.0,14:07,Texans,Kris Brown 20 yard field goal,3,6
3,2.0,9:51,Chargers,LaDainian Tomlinson 1 yard rush (Nate Kaeding kick),10,6
4,2.0,4:43,Texans,Domanick Williams 2 yard rush (Kris Brown kick),10,13
5,3.0,9:12,Chargers,Reche Caldwell 36 yard pass from Drew Brees (Nate Kaeding kick),17,13
6,3.0,4:36,Texans,Domanick Williams 1 yard rush (Kris Brown kick),17,20
7,3.0,0:00,Chargers,Nate Kaeding 29 yard field goal,20,20
8,4.0,8:34,Chargers,Eric Parker 19 yard pass from Drew Brees (Nate Kaeding kick),27,20
