,Quarter,Tm,Detail,STL,PHI
0,1.0,Eagles,Horst Muhlmann 28 yard field goal,0,3
1,2.0,Cardinals,Ike Harris 38 yard pass from Jim Hart (Jim Bakken kick),7,3
2,2.0,Cardinals,Terry Metcalf 10 yard rush (Jim Bakken kick),14,3
3,4.0,Cardinals,Jerry Latin 2 yard rush (Jim Bakken kick),21,3
4,4.0,Eagles,Herb Lusk 36 yard pass from Ron Jaworski (Horst Muhlmann kick),21,10
5,4.0,Eagles,Harold Carmichael 50 yard pass from Ron Jaworski (Horst Muhlmann kick),21,17
