,Quarter,Tm,Detail,RAM,STL
0,1.0,Rams,Roman Gabriel 2 yard rush (Bruce Gossett kick),7,0
1,2.0,Cardinals,Jim Bakken 22 yard field goal,7,3
2,2.0,Rams,Bruce Gossett 25 yard field goal,10,3
3,3.0,Rams,Ron Smith 94 yard kickoff return (Bruce Gossett kick),17,3
4,3.0,Cardinals,Jim Bakken 24 yard field goal,17,6
5,3.0,Rams,Jack Snow 6 yard pass from Roman Gabriel (Bruce Gossett kick),24,6
6,4.0,Cardinals,Roy Shivers 17 yard pass from Jim Hart (Jim Bakken kick),24,13
