,Quarter,Tm,Detail,DEN,NYG
0,1.0,Giants,Joe Danelo 28 yard field goal,0,3
1,2.0,Broncos,Jim Jensen 1 yard rush (Fred Steinfort kick),7,3
2,2.0,Giants,Joe Danelo 28 yard field goal,7,6
3,2.0,Giants,Joe Danelo 45 yard field goal,7,9
4,3.0,Broncos,Otis Armstrong 2 yard rush (Fred Steinfort kick),14,9
