,Quarter,Tm,Detail,CLE,NYJ
0,1.0,Jets,Pat Leahy 46 yard field goal,0,3
1,1.0,Browns,Brian Brennan 37 yard punt return (Matt Bahr kick),7,3
2,1.0,Jets,Kurt Sohn 39 yard pass from Ken O'Brien (Pat Leahy kick),7,10
3,2.0,Browns,Matt Bahr 32 yard field goal,10,10
4,2.0,Jets,Johnny Hector 5 yard rush (Pat Leahy kick),10,17
5,3.0,Jets,Johnny Hector 1 yard rush (Pat Leahy kick),10,24
6,3.0,Jets,Pat Leahy 35 yard field goal,10,27
7,4.0,Jets,Pat Leahy 32 yard field goal,10,30
8,4.0,Jets,Tony Paige 1 yard rush (Pat Leahy kick),10,37
