,Quarter,Time,Tm,Detail,IND,BAL
0,1.0,,Colts,Mike Vanderjagt 53 yard field goal,3,0
1,1.0,,Ravens,Matt Stover 43 yard field goal,3,3
2,1.0,,Colts,Marshall Faulk 34 yard pass from Peyton Manning (Mike Vanderjagt kick),10,3
3,1.0,,Colts,Marshall Faulk 68 yard rush (Mike Vanderjagt kick),17,3
4,2.0,,Ravens,James Roe 15 yard pass from Jim Harbaugh (Matt Stover kick),17,10
5,2.0,0:46,Colts,Torrance Small 24 yard pass from Peyton Manning (Mike Vanderjagt kick),24,10
6,2.0,0:06,Ravens,Matt Stover 48 yard field goal,24,13
7,3.0,0:06,Ravens,Priest Holmes 2 yard rush (Floyd Turner pass from Jim Harbaugh ),24,21
8,3.0,0:06,Colts,Jerome Pathon 5 yard pass from Peyton Manning (Mike Vanderjagt kick),31,21
9,4.0,0:06,Ravens,Floyd Turner 22 yard pass from Jim Harbaugh (Matt Stover kick),31,28
10,4.0,0:06,Ravens,Priest Holmes 36 yard rush (Matt Stover kick),31,35
11,4.0,0:06,Ravens,Matt Stover 47 yard field goal,31,38
