,Quarter,Time,Tm,Detail,TAM,STL
0,1.0,12:40,Rams,Torry Holt 52 yard pass from Marc Bulger (Jeff Wilkins kick),0,7
1,1.0,9:14,Buccaneers,Mike Alstott 1 yard rush (Martin Gramatica kick),7,7
2,2.0,13:02,Buccaneers,Michael Pittman 5 yard pass from Brian Griese (Martin Gramatica kick),14,7
3,2.0,1:42,Rams,Marshall Faulk 1 yard rush (Jeff Wilkins kick),14,14
4,3.0,7:24,Rams,Adam Archuleta 93 yard defensive fumble return (Jeff Wilkins kick),14,21
5,3.0,0:37,Buccaneers,Will Heller 1 yard pass from Brian Griese (Martin Gramatica kick),21,21
6,4.0,10:46,Rams,Torry Holt 36 yard pass from Marc Bulger (Jeff Wilkins kick),21,28
