,Quarter,Time,Tm,Detail,DEN,MIA
0,1.0,,Broncos,Jason Elam 52 yard field goal,3,0
1,2.0,,Broncos,Rod Smith offensive fumble recovery in end zone (Jason Elam kick),10,0
2,2.0,1:00,Dolphins,Lamar Thomas 9 yard pass from Dan Marino (Olindo Mare kick),10,7
3,2.0,0:03,Broncos,Jason Elam 44 yard field goal,13,7
4,3.0,0:03,Dolphins,Lamar Thomas 56 yard pass from Dan Marino (Olindo Mare kick),13,14
5,3.0,0:03,Dolphins,Lamar Thomas 17 yard pass from Dan Marino (Olindo Mare kick),13,21
6,4.0,0:03,Dolphins,Oronde Gadsden 8 yard pass from Dan Marino (Olindo Mare kick),13,28
7,4.0,0:03,Broncos,Vaughn Hebron 95 yard kickoff return (Ed McCaffrey pass from Bubby Brister),21,28
8,4.0,1:15,Dolphins,Olindo Mare 42 yard field goal,21,31
