,Quarter,Tm,Detail,ATL,NOR
0,1.0,Saints,Steve Mike-Mayer 21 yard field goal,0,3
1,2.0,Falcons,Tim Mazzetti 22 yard field goal,3,3
2,2.0,Saints,Tony Galbreath 1 yard rush (Steve Mike-Mayer kick),3,10
3,2.0,Saints,Henry Childs 14 yard pass from Archie Manning (Steve Mike-Mayer kick),3,17
4,3.0,Falcons,Tim Mazzetti 32 yard field goal,6,17
5,4.0,Falcons,Haskel Stanback 1 yard rush (Tim Mazzetti kick),13,17
6,4.0,Falcons,Alfred Jackson 57 yard pass from Steve Bartkowski (Tim Mazzetti kick),20,17
