,Quarter,Tm,Detail,RAM,CHI
0,1.0,Rams,Les Josephson 37 yard pass from Roman Gabriel (Bruce Gossett kick),7,0
1,2.0,Bears,Jack Concannon 1 yard rush (Mac Percival kick),7,7
2,2.0,Rams,Roman Gabriel 2 yard rush (Bruce Gossett kick),14,7
3,3.0,Bears,Mac Percival 44 yard field goal,14,10
4,3.0,Rams,Bernie Casey 51 yard pass from Tommy Mason (Bruce Gossett kick),21,10
5,4.0,Rams,Dave Pivec 2 yard pass from Roman Gabriel (Bruce Gossett kick),28,10
6,4.0,Bears,Dick Gordon 24 yard pass from Jack Concannon (Mac Percival kick),28,17
