,Quarter,Tm,Detail,DET,GNB
0,1.0,Lions,Eddie Murray 27 yard field goal,3,0
1,1.0,Lions,Billy Sims 1 yard rush (Eddie Murray kick),10,0
2,1.0,Lions,Freddie Scott 21 yard pass from Gary Danielson (Eddie Murray kick),17,0
3,2.0,Lions,Eddie Murray 27 yard field goal,20,0
4,2.0,Lions,Eddie Murray 25 yard field goal,23,0
5,3.0,Lions,Alvin Hall 96 yard kickoff return (Eddie Murray kick),30,0
6,3.0,Packers,Jan Stenerud 31 yard field goal,30,3
7,4.0,Packers,Gerry Ellis 1 yard rush (Jan Stenerud kick),30,10
