,Quarter,Time,Tm,Detail,OAK,KAN
0,1.0,10:52,Chiefs,Jeremy Maclin 25 yard pass from Alex Smith (Cairo Santos kick),0,7
1,1.0,0:51,Chiefs,Spencer Ware 3 yard rush (Cairo Santos kick),0,14
2,2.0,13:40,Raiders,Sebastian Janikowski 29 yard field goal,3,14
3,2.0,3:27,Raiders,David Amerson 24 yard interception return (Sebastian Janikowski kick),10,14
4,3.0,9:01,Chiefs,"Safety, D.J. Alexander blocked Punt O.B. in end zone",10,16
5,3.0,7:03,Chiefs,Demetrius Harris 15 yard pass from Alex Smith (Cairo Santos kick),10,23
6,4.0,2:01,Raiders,Michael Crabtree 31 yard pass from Derek Carr (Sebastian Janikowski kick),17,23
