,Quarter,Tm,Detail,PIT,CRD
0,1.0,Steelers,Elbie Nickel 15 yard pass from Jim Finks (Ed Kissell kick),7,0
1,1.0,Cardinals,Ollie Matson 91 yard kickoff return (Pat Summerall kick),7,7
2,3.0,Cardinals,Pat Summerall 24 yard field goal,7,10
3,4.0,Cardinals,Ollie Matson 18 yard pass from Lamar McHan (Pat Summerall kick),7,17
4,4.0,Steelers,Johnny Lattner 1 yard rush (Ed Kissell kick),14,17
