,Quarter,Tm,Detail,DAL,GNB
0,1.0,Packers,Boyd Dowler 8 yard pass from Bart Starr (Don Chandler kick),0,7
1,2.0,Packers,Boyd Dowler 46 yard pass from Bart Starr (Don Chandler kick),0,14
2,2.0,Cowboys,George Andrie 7 yard defensive fumble return (Danny Villanueva kick),7,14
3,2.0,Cowboys,Danny Villanueva 21 yard field goal,10,14
4,4.0,Cowboys,Lance Rentzel 50 yard pass from Dan Reeves (Danny Villanueva kick),17,14
5,4.0,Packers,Bart Starr 1 yard rush (Don Chandler kick),17,21
