,Quarter,Tm,Detail,CHI,RAM
0,1.0,Rams,Dick Huffman 10 yard fumble return (Bob Waterfield kick),0,7
1,1.0,Bears,Jim Keane 9 yard pass from Sid Luckman (Ray McLean kick),7,7
2,2.0,Bears,Jim Keane 17 yard pass from Sid Luckman (Ray McLean kick),14,7
3,3.0,Bears,Hugh Gallarneau 1 yard rush,20,7
4,3.0,Rams,Jim Benton 32 yard pass from Jim Hardy (Bob Waterfield kick),20,14
5,4.0,Bears,George Gulyanics 46 yard rush (Ray McLean kick),27,14
6,4.0,Bears,Ed Cifers 20 yard interception return (Ray McLean kick),34,14
7,4.0,Rams,Jim Benton 11 yard pass from Jim Hardy (Bob Waterfield kick),34,21
8,4.0,Bears,Ken Kavanaugh 26 yard pass from Sid Luckman (Ray McLean kick),41,21
