,Quarter,Tm,Detail,CRD,DET
0,2.0,Cardinals,Bill Smith 31 yard field goal,3,0
1,3.0,Lions,John Schneller 17 yard pass from Dutch Clark (Dutch Clark kick),3,7
2,4.0,Cardinals,Al Nichelini 1 yard rush (Bill Smith kick),10,7
3,4.0,Lions,Glenn Presnell 21 yard field goal,10,10
