,Quarter,Tm,Detail,MIN,NOR
0,1.0,Vikings,Brent McClanahan 1 yard rush,6,0
1,1.0,Vikings,Chuck Foreman 2 yard rush (Fred Cox kick),13,0
2,2.0,Saints,Rich Szaro 45 yard field goal,13,3
3,2.0,Vikings,Brent McClanahan 5 yard rush (Fred Cox kick),20,3
4,2.0,Vikings,Fred Cox 24 yard field goal,23,3
5,2.0,Vikings,Sammy White 47 yard pass from Fran Tarkenton (Fred Cox kick),30,3
6,3.0,Vikings,Chuck Foreman 6 yard rush (Fred Cox kick),37,3
7,3.0,Saints,Tony Galbreath 1 yard rush,37,9
8,4.0,Vikings,Fred Cox 35 yard field goal,40,9
