,Quarter,Tm,Detail,NYG,BOS
0,2.0,Braves,Jim Musick 2 yard rush (Honolulu Hughes kick),0,7
1,2.0,Giants,Red Badgro 6 yard pass from Jack Hagerty,6,7
2,4.0,Braves,Algy Clark 55 yard fumble return (Honolulu Hughes kick),6,14
