,Quarter,Tm,Detail,KAN,RII
0,1,Independents,Rube Ursella 26 yard field goal,0,3
1,3,Independents,Joe Little Twig fumble recovery in end zone (Rube Ursella kick),0,10
2,4,Independents,Buck Gavin 1 yard rush (John Armstrong kick),0,17
