,Quarter,Time,Tm,Detail,ARI,SFO
0,1.0,4:45,49ers,Ted Ginn Jr. 37 yard pass from Alex Smith (Jeff Reed kick),0,7
1,2.0,14:18,49ers,Jeff Reed 39 yard field goal,0,10
2,2.0,7:30,Cardinals,Larry Fitzgerald 10 yard pass from John Skelton (Jay Feely kick),7,10
3,3.0,13:02,49ers,Vernon Davis 59 yard pass from Alex Smith (Jeff Reed kick),7,17
4,3.0,8:50,49ers,Brian Westbrook 6 yard rush (Jeff Reed kick),7,24
5,3.0,6:51,49ers,Brian Westbrook 6 yard rush (Jeff Reed kick),7,31
6,4.0,4:01,49ers,Tarell Brown 62 yard interception return (Jeff Reed kick),7,38
