,Quarter,Tm,Detail,HOU,CIN
0,1.0,Oilers,Skip Butler 21 yard field goal,3,0
1,2.0,Oilers,Skip Butler 34 yard field goal,6,0
2,2.0,Bengals,Isaac Curtis 37 yard pass from Ken Anderson (Horst Muhlmann kick),6,7
3,3.0,Oilers,Ken Burrough 47 yard pass from Dan Pastorini (Skip Butler kick),13,7
4,3.0,Oilers,Fred Willis 8 yard rush (Skip Butler kick),20,7
5,4.0,Oilers,Elvin Bethea 38 yard defensive fumble return (Skip Butler kick),27,7
6,4.0,Bengals,Isaac Curtis 14 yard pass from Ken Anderson (Horst Muhlmann kick),27,14
7,4.0,Oilers,Billy Parks 35 yard pass from Dan Pastorini (Skip Butler kick),34,14
8,4.0,Bengals,Boobie Clark 10 yard pass from Ken Anderson (Horst Muhlmann kick),34,21
