,Quarter,Time,Tm,Detail,JAX,CHI
0,1.0,2:42,Bears,Paul Edinger 47 yard field goal,0,3
1,2.0,1:17,Bears,Leon Johnson 2 yard rush (Paul Edinger kick),0,10
2,2.0,0:00,Bears,Paul Edinger 23 yard field goal,0,13
3,3.0,9:40,Bears,David Terrell 9 yard pass from Jim Miller (Paul Edinger kick),0,20
4,3.0,6:59,Jaguars,Keenan McCardell 15 yard pass from Mark Brunell (Mike Hollis kick failed),6,20
5,3.0,1:52,Bears,Paul Edinger 25 yard field goal,6,23
6,4.0,12:56,Bears,Paul Edinger 22 yard field goal,6,26
7,4.0,7:37,Bears,Anthony Thomas 2 yard rush (Paul Edinger kick),6,33
8,4.0,3:50,Jaguars,Jimmy Smith 3 yard pass from Mark Brunell (Jaret Holmes kick),13,33
