,Quarter,Tm,Detail,DAL,CLE
0,1.0,Browns,Ernie Green 7 yard pass from Frank Ryan (Lou Groza kick),0,7
1,2.0,Browns,Lou Groza 19 yard field goal,0,10
2,2.0,Cowboys,Pettis Norman 5 yard pass from John Roach,6,10
3,2.0,Browns,Lou Groza 21 yard field goal,6,13
4,3.0,Browns,Paul Warfield 40 yard pass from Frank Ryan (Lou Groza kick),6,20
5,4.0,Browns,Gary Collins 38 yard pass from Frank Ryan (Lou Groza kick),6,27
