,Quarter,Tm,Detail,RAI,SEA
0,1.0,Seahawks,Steve Largent 10 yard pass from Dave Krieg (Norm Johnson kick),0,7
1,1.0,Seahawks,Curt Warner 5 yard rush (Norm Johnson kick),0,14
2,2.0,Seahawks,Norm Johnson 46 yard field goal,0,17
3,2.0,Seahawks,Ray Butler 12 yard pass from Dave Krieg (Norm Johnson kick),0,24
4,3.0,Seahawks,Norm Johnson 51 yard field goal,0,27
5,3.0,Seahawks,Norm Johnson 53 yard field goal,0,30
6,4.0,Seahawks,Curt Warner 3 yard rush (Norm Johnson kick),0,37
