,Quarter,Time,Tm,Detail,CHI,DEN
0,3,5:19,Bears,Marion Barber III 9 yard rush (Robbie Gould kick),7,0
1,4,14:55,Bears,Robbie Gould 57 yard field goal,10,0
2,4,2:08,Broncos,Demaryius Thomas 10 yard pass from Tim Tebow (Matt Prater kick),10,7
3,4,0:03,Broncos,Matt Prater 59 yard field goal,10,10
4,OT,8:34,Broncos,Matt Prater 51 yard field goal,10,13
