,Quarter,Tm,Detail,RAC,CRD
0,2.0,Cardinals,"Safety,",0,2
1,3.0,Legion,Hank Gillo 15 yard field goal,3,2
2,4.0,Legion,Shorty Barr unknown yard rush (Hank Gillo kick),10,2
3,4.0,Cardinals,"Safety,",10,4
