,Quarter,Time,Tm,Detail,SFO,HOU
0,1.0,9:02,Texans,Ka'imi Fairbairn 55 yard field goal,0,3
1,2.0,6:31,49ers,Robbie Gould 52 yard field goal,3,3
2,2.0,2:32,49ers,Carlos Hyde 2 yard rush (Robbie Gould kick),10,3
3,2.0,0:54,Texans,DeAndre Hopkins 7 yard pass from T.J. Yates (Ka'imi Fairbairn kick failed),10,9
4,2.0,0:00,49ers,Robbie Gould 35 yard field goal,13,9
5,3.0,12:11,Texans,DeAndre Hopkins 29 yard pass from T.J. Yates (Ka'imi Fairbairn kick),13,16
6,3.0,8:12,49ers,Robbie Gould 25 yard field goal,16,16
7,3.0,1:53,49ers,Garrett Celek 6 yard pass from Jimmy Garoppolo (Robbie Gould kick),23,16
8,4.0,3:50,49ers,Robbie Gould 41 yard field goal,26,16
