,Quarter,Time,Tm,Detail,GNB,SEA
0,1.0,13:46,Packers,Aaron Jones 8 yard rush (Mason Crosby kick),7,0
1,1.0,6:00,Seahawks,Sebastian Janikowski 39 yard field goal,7,3
2,1.0,3:10,Packers,Robert Tonyan 54 yard pass from Aaron Rodgers (Mason Crosby kick),14,3
3,2.0,8:03,Seahawks,Doug Baldwin 6 yard pass from Russell Wilson (Sebastian Janikowski kick),14,10
4,2.0,3:22,Seahawks,Chris Carson 1 yard rush (Sebastian Janikowski kick),14,17
5,2.0,0:44,Packers,Aaron Jones 24 yard pass from Aaron Rodgers (Mason Crosby kick),21,17
6,4.0,12:14,Seahawks,Sebastian Janikowski 43 yard field goal,21,20
7,4.0,8:23,Packers,Mason Crosby 36 yard field goal,24,20
8,4.0,5:08,Seahawks,Ed Dickson 15 yard pass from Russell Wilson (Sebastian Janikowski kick),24,27
