,Quarter,Tm,Detail,NYG,DET
0,1.0,Lions,Doak Walker 25 yard pass from Harry Gilmer (Doak Walker kick),0,7
1,1.0,Giants,Alex Webster 6 yard rush (Ben Agajanian kick),7,7
2,2.0,Giants,Frank Gifford 22 yard rush (Ben Agajanian kick),14,7
3,2.0,Giants,Frank Gifford 37 yard pass from Don Heinrich (Ben Agajanian kick),21,7
4,2.0,Lions,Doak Walker 19 yard field goal,21,10
5,3.0,Giants,Ben Agajanian 24 yard field goal,24,10
6,3.0,Lions,"Safety, kick blocked out of end zone by Long",24,12
7,4.0,Lions,Lew Carpenter 19 yard rush (Doak Walker kick),24,19
