,Quarter,Tm,Detail,MIN,DAL
0,1.0,Cowboys,Golden Richards 32 yard pass from Roger Staubach,0,6
1,2.0,Cowboys,Robert Newhouse 5 yard rush (Efren Herrera kick),0,13
2,2.0,Vikings,Fred Cox 32 yard field goal,3,13
3,2.0,Vikings,Fred Cox 37 yard field goal,6,13
4,2.0,Cowboys,Efren Herrera 21 yard field goal,6,16
5,4.0,Cowboys,Tony Dorsett 11 yard rush (Efren Herrera kick),6,23
