,Quarter,Tm,Detail,MIA,NWE
0,1.0,Dolphins,Garo Yepremian 36 yard field goal,3,0
1,2.0,Dolphins,Garo Yepremian 10 yard field goal,6,0
2,2.0,Dolphins,Jim Kiick 1 yard rush (Garo Yepremian kick),13,0
3,2.0,Patriots,Tom Reynolds 36 yard pass from Jim Plunkett (Mike Walker kick),13,7
4,3.0,Dolphins,Jim Mandich 3 yard pass from Earl Morrall (Garo Yepremian kick),20,7
5,3.0,Dolphins,Garo Yepremian 18 yard field goal,23,7
6,3.0,Dolphins,Marlin Briscoe 14 yard pass from Earl Morrall (Garo Yepremian kick),30,7
7,4.0,Dolphins,Hubert Ginn 8 yard rush (Garo Yepremian kick),37,7
8,4.0,Patriots,John Tarver 8 yard pass from Brian Dowling (Mike Walker kick),37,14
9,4.0,Patriots,Brian Dowling 1 yard rush (Mike Walker kick),37,21
