,Quarter,Tm,Detail,HOU,IND
0,1.0,Oilers,Lorenzo White 69 yard pass from Warren Moon (Al Del Greco kick),7,0
1,2.0,Colts,Dean Biasucci 37 yard field goal,7,3
2,2.0,Oilers,Al Del Greco 27 yard field goal,10,3
3,3.0,Oilers,Haywood Jeffires 2 yard pass from Warren Moon (Al Del Greco kick),17,3
4,4.0,Oilers,Al Del Greco 20 yard field goal,20,3
5,4.0,Colts,Anthony Johnson 3 yard pass from Tom Tupa (Dean Biasucci kick),20,10
