,Quarter,Tm,Detail,CHI,CRD
0,1.0,Bears,Connie Mack Berry 9 yard pass from Gene Ronzani (Pete Gudauskas kick),7,0
1,2.0,Bears,Jim Fordham 1 yard rush (Pete Gudauskas kick),14,0
2,2.0,Cards/Steelers,Bob Thurbon 1 yard rush (Conway Baker kick),14,7
3,3.0,Bears,Gary Famiglietti 23 yard pass from Gene Ronzani (Pete Gudauskas kick),21,7
4,4.0,Bears,Bob Margarita 47 yard rush (Pete Gudauskas kick),28,7
5,4.0,Bears,Jim Fordham 2 yard rush (Pete Gudauskas kick),35,7
6,4.0,Bears,Doug McEnulty 5 yard pass from Gene Ronzani (Pete Gudauskas kick),42,7
7,4.0,Bears,Bulldog Turner 48 yard rush (Pete Gudauskas kick),49,7
