,Quarter,Tm,Detail,MIA,WAS
0,1.0,Dolphins,Mark Duper 26 yard pass from Dan Marino (Uwe von Schamann kick),7,0
1,2.0,Redskins,John Riggins 1 yard rush (Mark Moseley kick),7,7
2,2.0,Redskins,Mark Moseley 32 yard field goal,7,10
3,2.0,Dolphins,Mark Duper 74 yard pass from Dan Marino (Uwe von Schamann kick),14,10
4,3.0,Dolphins,Jim Jensen 6 yard pass from Dan Marino (Uwe von Schamann kick),21,10
5,3.0,Dolphins,Mark Clayton 9 yard pass from Dan Marino (Uwe von Schamann kick),28,10
6,3.0,Dolphins,Jim Jensen 4 yard pass from Dan Marino (Uwe von Schamann kick),35,10
7,4.0,Redskins,Joe Washington 4 yard rush (Mark Moseley kick),35,17
