,Quarter,Tm,Detail,PHI,CLE
0,1.0,Eagles,Timmy Brown 54 yard rush (Sam Baker kick),7,0
1,1.0,Browns,Gary Collins 2 yard pass from Frank Ryan (Lou Groza kick),7,7
2,1.0,Eagles,Pete Retzlaff 6 yard pass from Norm Snead (Sam Baker kick),14,7
3,2.0,Browns,Jim Brown 7 yard rush (Lou Groza kick),14,14
4,2.0,Eagles,Sam Baker 12 yard field goal,17,14
5,2.0,Browns,Jim Brown 32 yard pass from Frank Ryan (Lou Groza kick),17,21
6,3.0,Eagles,Pete Retzlaff 39 yard pass from Norm Snead (Sam Baker kick),24,21
7,3.0,Browns,Lou Groza 49 yard field goal,24,24
8,3.0,Eagles,Sam Baker 39 yard field goal,27,24
9,3.0,Browns,Jim Brown 1 yard rush (Lou Groza kick),27,31
10,4.0,Browns,Gary Collins 7 yard pass from Frank Ryan (Lou Groza kick),27,38
11,4.0,Eagles,Pete Retzlaff 22 yard pass from Norm Snead (Sam Baker kick),34,38
