,Quarter,Tm,Detail,RAM,CIN
0,1.0,Rams,Tom Dempsey 19 yard field goal,3,0
1,2.0,Rams,Tom Dempsey 23 yard field goal,6,0
2,3.0,Bengals,Boobie Clark 9 yard rush (Chris Bahr kick),6,7
3,3.0,Bengals,Bob Trumpy 30 yard pass from Ken Anderson,6,13
4,3.0,Bengals,Boobie Clark 17 yard pass from Ken Anderson (Chris Bahr kick),6,20
5,4.0,Rams,Ron Jessie 17 yard pass from James Harris,12,20
