,Quarter,Tm,Detail,DEN,OAK
0,1.0,Raiders,Raymond Chester 67 yard pass from Daryle Lamonica (George Blanda kick),0,7
1,1.0,Broncos,Jim Turner 14 yard field goal,3,7
2,2.0,Raiders,Charlie Smith 1 yard rush (George Blanda kick),3,14
3,4.0,Broncos,Jim Turner 29 yard field goal,6,14
4,4.0,Raiders,Pete Banaszak 2 yard rush (George Blanda kick),6,21
5,4.0,Broncos,Clem Turner 7 yard pass from Steve Ramsey (Jim Turner kick),13,21
