,Quarter,Tm,Detail,HAM,GNB
0,1,Packers,Charlie Mathys 1 yard rush,0,6
1,3,Packers,Stan Mills 35 yard pass from Curly Lambeau (Cub Buck kick),0,13
2,4,Packers,Curly Lambeau unknown yard pass from Charlie Mathys,0,19
