,Quarter,Time,Tm,Detail,SEA,LAR
0,2.0,14:13,Rams,Tavon Austin 27 yard rush (Greg Zuerlein kick),0,7
1,2.0,9:29,Rams,Greg Zuerlein 35 yard field goal,0,10
2,2.0,1:55,Seahawks,Jimmy Graham 4 yard pass from Russell Wilson (Blair Walsh kick),7,10
3,2.0,0:00,Seahawks,Blair Walsh 48 yard field goal,10,10
4,3.0,5:41,Seahawks,Blair Walsh 49 yard field goal,13,10
5,4.0,1:09,Seahawks,Blair Walsh 35 yard field goal,16,10
