,Quarter,Time,Tm,Detail,STL,WAS
0,1.0,,Redskins,Larry Bowie 39 yard pass from Gus Frerotte (Scott Blanton kick),0,7
1,2.0,,Rams,Jeff Wilkins 30 yard field goal,3,7
2,2.0,,Redskins,Scott Blanton 43 yard field goal,3,10
3,2.0,,Rams,Amp Lee 36 yard pass from Tony Banks (Jeff Wilkins kick),10,10
4,3.0,,Rams,Jerald Moore 5 yard rush (Jeff Wilkins kick),17,10
5,4.0,,Redskins,Scott Blanton 19 yard field goal,17,13
6,4.0,,Rams,Jeff Wilkins 23 yard field goal,20,13
7,4.0,,Redskins,Brian Mitchell 2 yard rush (Scott Blanton kick),20,20
8,4.0,,Rams,Jeff Wilkins 25 yard field goal,23,20
