,Quarter,Time,Tm,Detail,CHI,DET
0,1.0,11:13,Lions,Germane Crowell 45 yard pass from Gus Frerotte (Jason Hanson kick),0,7
1,2.0,2:45,Lions,Greg Hill 29 yard rush (Jason Hanson kick),0,14
2,2.0,1:45,Lions,Johnnie Morton 2 yard pass from Gus Frerotte (Jason Hanson kick),0,21
3,2.0,0:30,Bears,Alonzo Mayes 3 yard pass from Jim Miller (Chris Boniol kick),7,21
4,3.0,7:29,Bears,Chris Boniol 27 yard field goal,10,21
5,4.0,14:53,Bears,Marty Booker 23 yard pass from Jim Miller (Chris Boniol kick),17,21
