,Quarter,Tm,Detail,HOU,KAN
0,1.0,Oilers,Toni Fritsch 33 yard field goal,3,0
1,2.0,Oilers,Toni Fritsch 49 yard field goal,6,0
2,2.0,Chiefs,Jan Stenerud 41 yard field goal,6,3
3,2.0,Chiefs,Ted McKnight 3 yard rush (Jan Stenerud kick),6,10
4,3.0,Chiefs,Tony Reed 19 yard rush (Jan Stenerud kick),6,17
5,4.0,Oilers,Earl Campbell 1 yard rush (Toni Fritsch kick),13,17
6,4.0,Oilers,Earl Campbell 2 yard rush (Toni Fritsch kick),20,17
