,Quarter,Tm,Detail,CLE,KAN
0,1.0,Browns,Don Cockroft 27 yard field goal,3,0
1,1.0,Browns,Reggie Rucker 17 yard pass from Brian Sipe (Don Cockroft kick),10,0
2,2.0,Browns,Ozzie Newsome 20 yard pass from Brian Sipe (Don Cockroft kick),17,0
3,3.0,Browns,Don Cockroft 32 yard field goal,20,0
4,3.0,Chiefs,J.T. Smith 17 yard pass from Steve Fuller (Jan Stenerud kick),20,7
5,4.0,Chiefs,Tony Reed 9 yard rush (Jan Stenerud kick),20,14
6,4.0,Chiefs,Ted McKnight 1 yard rush (Jan Stenerud kick),20,21
7,4.0,Chiefs,Jan Stenerud 30 yard field goal,20,24
8,4.0,Browns,Reggie Rucker 21 yard pass from Brian Sipe (Don Cockroft kick),27,24
