,Quarter,Tm,Detail,RAI,HOU
0,1.0,Oilers,Curtis Duncan 25 yard pass from Warren Moon (Tony Zendejas kick),0,7
1,2.0,Raiders,Mike Dyal 22 yard pass from Steve Beuerlein (Jeff Jaeger kick),7,7
2,2.0,Oilers,Tony Zendejas 20 yard field goal,7,10
3,2.0,Oilers,Leonard Harris 11 yard pass from Warren Moon (Tony Zendejas kick),7,17
4,3.0,Oilers,Tony Zendejas 20 yard field goal,7,20
5,4.0,Oilers,Tony Zendejas 46 yard field goal,7,23
