,Quarter,Tm,Detail,ATL,TAM
0,1,Buccaneers,Donald Igwebuike 26 yard field goal,0,3
1,1,Falcons,Floyd Dixon 27 yard pass from David Archer (Mick Luckhurst kick),7,3
2,2,Buccaneers,Donald Igwebuike 24 yard field goal,7,6
3,2,Buccaneers,Calvin Magee 11 yard pass from Steve Young (Donald Igwebuike kick),7,13
4,2,Buccaneers,Steve Young 21 yard rush (Donald Igwebuike kick),7,20
5,3,Falcons,Gerald Riggs 1 yard rush (Mick Luckhurst kick),14,20
6,4,Falcons,Mick Luckhurst 43 yard field goal,17,20
7,4,Falcons,Mick Luckhurst 34 yard field goal,20,20
8,OT,Falcons,Mick Luckhurst 34 yard field goal,23,20
