,Quarter,Tm,Detail,SEA,PIT
0,1.0,Steelers,Terry Bradshaw 5 yard rush (Roy Gerela kick),0,7
1,2.0,Seahawks,John Leypoldt 20 yard field goal,3,7
2,2.0,Steelers,Roy Gerela 22 yard field goal,3,10
3,2.0,Steelers,Roy Gerela 28 yard field goal,3,13
4,3.0,Seahawks,Sam McCullum 65 yard pass from Jim Zorn (John Leypoldt kick),10,13
5,3.0,Seahawks,John Leypoldt 27 yard field goal,13,13
6,4.0,Steelers,Roy Gerela 43 yard field goal,13,16
7,4.0,Steelers,Lynn Swann 22 yard pass from Terry Bradshaw (Roy Gerela kick),13,23
8,4.0,Steelers,Terry Bradshaw 3 yard rush (Roy Gerela kick),13,30
9,4.0,Seahawks,Steve Largent 30 yard pass from Jim Zorn (John Leypoldt kick),20,30
